Time,AV1,AV2,AV3,PUMP1,PT101,LT201,PT301,FT101
5.400000000000002,1,0,1,0,499.2222222222224,0.5186666666666677,399.6111111111104,5.0
5.600000000000002,1,0,1,0,499.1944444444446,0.5193333333333344,399.5972222222215,5.0
5.8000000000000025,1,0,1,0,499.16666666666686,0.5200000000000011,399.5833333333326,5.0
6.000000000000003,1,0,1,0,499.1388888888891,0.5206666666666678,399.56944444444366,5.0
6.200000000000003,1,0,1,0,499.1111111111113,0.5213333333333345,399.55555555555475,5.0
6.400000000000003,1,0,1,0,499.08333333333354,0.5220000000000012,399.54166666666583,5.0
6.600000000000003,1,0,1,0,499.05555555555577,0.522666666666668,399.5277777777769,5.0
6.800000000000003,1,0,1,0,499.027777777778,0.5233333333333346,399.513888888888,5.0
7.0000000000000036,1,0,1,0,499.0000000000002,0.5240000000000014,399.4999999999991,5.0
7.200000000000004,1,0,1,0,498.97222222222246,0.5246666666666681,399.4861111111102,5.0
7.400000000000004,1,0,1,0,498.9444444444447,0.5253333333333348,399.47222222222126,5.0
7.600000000000004,1,0,1,0,498.9166666666669,0.5260000000000015,399.45833333333235,5.0
7.800000000000004,1,0,1,0,498.88888888888914,0.5266666666666682,399.44444444444343,5.0
8.000000000000004,1,0,1,0,498.86111111111137,0.5273333333333349,399.4305555555545,5.0
8.200000000000003,1,0,1,0,498.8333333333336,0.5280000000000016,399.4166666666656,5.0
8.400000000000002,1,0,1,0,498.8055555555558,0.5286666666666683,399.4027777777767,5.0
8.600000000000001,1,0,1,0,498.77777777777806,0.529333333333335,399.3888888888878,5.0
8.8,1,0,1,0,498.7500000000003,0.5300000000000017,399.37499999999886,5.0
9.0,1,0,1,0,498.7222222222225,0.5306666666666684,399.36111111110995,5.0
9.2,1,0,1,0,498.69444444444474,0.5313333333333351,399.34722222222103,5.0
9.399999999999999,1,0,1,0,498.66666666666697,0.5320000000000018,399.3333333333321,5.0
9.599999999999998,1,0,1,0,498.6388888888892,0.5326666666666685,399.3194444444432,5.0
9.799999999999997,1,0,1,0,498.6111111111114,0.5333333333333352,399.3055555555543,5.0
9.999999999999996,1,0,1,0,498.58333333333366,0.5340000000000019,399.2916666666654,5.0
10.199999999999996,1,0,1,0,498.5555555555559,0.5346666666666686,399.27777777777646,5.0
10.399999999999995,1,0,1,0,498.5277777777781,0.5353333333333353,399.26388888888755,5.0
10.599999999999994,1,0,1,0,498.50000000000034,0.536000000000002,399.24999999999864,5.0
10.799999999999994,1,0,1,0,498.47222222222257,0.5366666666666687,399.2361111111097,5.0
10.999999999999993,1,0,1,0,498.4444444444448,0.5373333333333354,399.2222222222208,5.0
11.199999999999992,1,0,1,0,498.416666666667,0.5380000000000021,399.2083333333319,5.0
11.399999999999991,1,0,1,0,498.38888888888926,0.5386666666666688,399.194444444443,5.0
11.59999999999999,1,0,1,0,498.3611111111115,0.5393333333333356,399.18055555555406,5.0
11.79999999999999,1,0,1,0,498.3333333333337,0.5400000000000023,399.16666666666515,5.0
11.99999999999999,1,0,1,0,498.30555555555594,0.540666666666669,399.15277777777624,5.0
12.199999999999989,1,0,1,0,498.27777777777817,0.5413333333333357,399.1388888888873,5.0
12.399999999999988,1,0,1,0,498.2500000000004,0.5420000000000024,399.1249999999984,5.0
12.599999999999987,1,0,1,0,498.2222222222226,0.5426666666666691,399.1111111111095,5.0
12.799999999999986,1,0,1,0,498.19444444444485,0.5433333333333358,399.0972222222206,5.0
12.999999999999986,1,0,1,0,498.1666666666671,0.5440000000000025,399.08333333333167,5.0
13.199999999999985,1,0,1,0,498.1388888888893,0.5446666666666692,399.06944444444275,5.0
13.399999999999984,1,0,1,0,498.11111111111154,0.5453333333333359,399.05555555555384,5.0
13.599999999999984,1,0,1,0,498.08333333333377,0.5460000000000026,399.0416666666649,5.0
13.799999999999983,1,0,1,0,498.055555555556,0.5466666666666693,399.027777777776,5.0
13.999999999999982,1,0,1,0,498.0277777777782,0.547333333333336,399.0138888888871,5.0
